hpoID,class,type,content,system,round,answer
,related,direct,http://purl.obolibrary.org/obo/OMO_0003000,II-Medical-8B,-1,undefined
RO:0002207,exact,direct,has developmental precursor,II-Medical-8B,-1,undefined
RO:0002264,related,direct,affects,II-Medical-8B,-1,undefined
RO:0002374,broad,direct,has fused element,II-Medical-8B,-1,undefined
RO:0002418,related,direct,affects,II-Medical-8B,-1,undefined
RO:0002491,exact,direct,exists during,II-Medical-8B,-1,undefined
core#channel:for,broad,direct,carries,II-Medical-8B,-1,undefined
core#site:of,related,direct,capable_of_has_part,II-Medical-8B,-1,undefined
CHEBI:10545,exact,direct,electron,II-Medical-8B,-1,undefined
CHEBI:10545,related,direct,Elektron,II-Medical-8B,-1,undefined
CHEBI:10545,related,direct,beta,II-Medical-8B,-1,undefined
CHEBI:10545,related,direct,beta(-),II-Medical-8B,-1,undefined
CHEBI:10545,related,direct,beta-particle,II-Medical-8B,-1,undefined
CHEBI:10545,related,direct,e,II-Medical-8B,-1,undefined
CHEBI:10545,related,direct,e(-),II-Medical-8B,-1,undefined
CHEBI:10545,related,direct,e-,II-Medical-8B,-1,undefined
CHEBI:10545,related,direct,negatron,II-Medical-8B,-1,undefined
CHEBI:11596,exact,direct,2-hydroxypentanedioate,II-Medical-8B,-1,undefined
CHEBI:11596,related,direct,2-hydroxyglutarate,II-Medical-8B,-1,undefined
CHEBI:11851,exact,direct,3-methyl-2-oxobutanoate,II-Medical-8B,-1,undefined
CHEBI:11851,related,direct,2-Oxo-3-methylbutanoate,II-Medical-8B,-1,undefined
CHEBI:11851,related,direct,2-Oxoisopentanoate,II-Medical-8B,-1,undefined
CHEBI:11851,related,direct,2-Oxoisovalerate,II-Medical-8B,-1,undefined
CHEBI:11851,related,direct,3-methyl-2-oxobutyrate,II-Medical-8B,-1,undefined
CHEBI:11851,related,direct,alpha-keto-isovalerate,II-Medical-8B,-1,exact
CHEBI:11955,exact,direct,4-Amino-3-hydroxybutanoate,II-Medical-8B,-1,undefined
