hpoID,class,type,content,system,round,answer
,related,direct,http://purl.obolibrary.org/obo/OMO_0003000,Mistral-Small-3.1-24B-Instruct-2503,-1,related
RO:0002207,exact,direct,has developmental precursor,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
RO:0002264,related,direct,affects,Mistral-Small-3.1-24B-Instruct-2503,-1,related
RO:0002374,broad,direct,has fused element,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
RO:0002418,related,direct,affects,Mistral-Small-3.1-24B-Instruct-2503,-1,related
RO:0002491,exact,direct,exists during,Mistral-Small-3.1-24B-Instruct-2503,-1,narrow
core#channel:for,broad,direct,carries,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
core#site:of,related,direct,capable_of_has_part,Mistral-Small-3.1-24B-Instruct-2503,-1,related
CHEBI:10545,exact,direct,electron,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:10545,related,direct,Elektron,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:10545,related,direct,beta,Mistral-Small-3.1-24B-Instruct-2503,-1,related
CHEBI:10545,related,direct,beta(-),Mistral-Small-3.1-24B-Instruct-2503,-1,related
CHEBI:10545,related,direct,beta-particle,Mistral-Small-3.1-24B-Instruct-2503,-1,related
CHEBI:10545,related,direct,e,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:10545,related,direct,e(-),Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:10545,related,direct,e-,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:10545,related,direct,negatron,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:11596,exact,direct,2-hydroxypentanedioate,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:11596,related,direct,2-hydroxyglutarate,Mistral-Small-3.1-24B-Instruct-2503,-1,broad
CHEBI:11851,exact,direct,3-methyl-2-oxobutanoate,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:11851,related,direct,2-Oxo-3-methylbutanoate,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:11851,related,direct,2-Oxoisopentanoate,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:11851,related,direct,2-Oxoisovalerate,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:11851,related,direct,3-methyl-2-oxobutyrate,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:11851,related,direct,alpha-keto-isovalerate,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:11955,exact,direct,4-Amino-3-hydroxybutanoate,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:12109,exact,direct,5-amino-4-oxopentanoate,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:12777,related,direct,vitamin A vitamer,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:12777,related,direct,vitamin A vitamers,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:12777,related,direct,vitamin-A,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:12777,related,direct,vitamins A,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:131444,exact,direct,carbamimidamidoacetate,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:131565,related,direct,steroid aldehydes,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:131604,related,direct,Mycoplasma genitalium metabolites,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:131619,related,direct,C27-steroids,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:131621,related,direct,C19-steroids,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:131702,related,direct,stigmastane derivatives,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:131703,related,direct,stigmastane sterols,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:131927,related,direct,dicarboxylic acids and derivatives,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:132153,related,direct,hyaluronan,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:132153,related,direct,hyaluronate polyanion,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:132177,exact,direct,2-hydroxy-3-methylbut-2-enoic acid,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:132362,exact,direct,"2-oxidopropane-1,2,3-tricarboxylate",Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:132362,related,direct,"2-oxido-1,2,3-propanetricarboxylate",Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:132362,related,direct,citric acid tetraanion,Mistral-Small-3.1-24B-Instruct-2503,-1,narrow
CHEBI:132542,related,direct,FA 22:4,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:132542,related,direct,FA(22:4),Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:132542,related,direct,free fatty acid 22:4,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:132938,related,direct,ethylmalonate anion,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:132938,related,direct,ethylmalonic acid anion,Mistral-Small-3.1-24B-Instruct-2503,-1,exact
CHEBI:132939,exact,direct,ethylpropanedioate,Mistral-Small-3.1-24B-Instruct-2503,-1,related
