hpoID,class,type,content,system,round,answer
,related,direct,http://purl.obolibrary.org/obo/OMO_0003000,Qwen3-4B-Instruct-2507,-1,exact
RO:0002207,exact,direct,has developmental precursor,Qwen3-4B-Instruct-2507,-1,exact
RO:0002264,related,direct,affects,Qwen3-4B-Instruct-2507,-1,exact
RO:0002374,broad,direct,has fused element,Qwen3-4B-Instruct-2507,-1,exact
RO:0002418,related,direct,affects,Qwen3-4B-Instruct-2507,-1,related
RO:0002491,exact,direct,exists during,Qwen3-4B-Instruct-2507,-1,exact
core#channel:for,broad,direct,carries,Qwen3-4B-Instruct-2507,-1,exact
core#site:of,related,direct,capable_of_has_part,Qwen3-4B-Instruct-2507,-1,related
CHEBI:10545,exact,direct,electron,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:10545,related,direct,Elektron,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:10545,related,direct,beta,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:10545,related,direct,beta(-),Qwen3-4B-Instruct-2507,-1,exact
CHEBI:10545,related,direct,beta-particle,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:10545,related,direct,e,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:10545,related,direct,e(-),Qwen3-4B-Instruct-2507,-1,exact
CHEBI:10545,related,direct,e-,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:10545,related,direct,negatron,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:11596,exact,direct,2-hydroxypentanedioate,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:11596,related,direct,2-hydroxyglutarate,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:11851,exact,direct,3-methyl-2-oxobutanoate,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:11851,related,direct,2-Oxo-3-methylbutanoate,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:11851,related,direct,2-Oxoisopentanoate,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:11851,related,direct,2-Oxoisovalerate,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:11851,related,direct,3-methyl-2-oxobutyrate,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:11851,related,direct,alpha-keto-isovalerate,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:11955,exact,direct,4-Amino-3-hydroxybutanoate,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:12109,exact,direct,5-amino-4-oxopentanoate,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:12777,related,direct,vitamin A vitamer,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:12777,related,direct,vitamin A vitamers,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:12777,related,direct,vitamin-A,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:12777,related,direct,vitamins A,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:131444,exact,direct,carbamimidamidoacetate,Qwen3-4B-Instruct-2507,-1,related
CHEBI:131565,related,direct,steroid aldehydes,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:131604,related,direct,Mycoplasma genitalium metabolites,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:131619,related,direct,C27-steroids,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:131621,related,direct,C19-steroids,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:131702,related,direct,stigmastane derivatives,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:131703,related,direct,stigmastane sterols,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:131927,related,direct,dicarboxylic acids and derivatives,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132153,related,direct,hyaluronan,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132153,related,direct,hyaluronate polyanion,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132177,exact,direct,2-hydroxy-3-methylbut-2-enoic acid,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132362,exact,direct,"2-oxidopropane-1,2,3-tricarboxylate",Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132362,related,direct,"2-oxido-1,2,3-propanetricarboxylate",Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132362,related,direct,citric acid tetraanion,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132542,related,direct,FA 22:4,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132542,related,direct,FA(22:4),Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132542,related,direct,free fatty acid 22:4,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132938,related,direct,ethylmalonate anion,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132938,related,direct,ethylmalonic acid anion,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132939,exact,direct,ethylpropanedioate,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132941,related,direct,2-hydroxyglutarate anion,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132941,related,direct,2-hydroxyglutaric acid anion,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132952,related,direct,ethanedioic acid anion,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132952,related,direct,ethanedioic acid anions,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132952,related,direct,oxalate anion,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132952,related,direct,oxalate anions,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132952,related,direct,oxalates,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132952,related,direct,oxalic acid anion,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132952,related,direct,oxalic acid anions,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132953,related,direct,octanedioic acid anion,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132953,related,direct,octanedioic acid anions,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132953,related,direct,suberate anion,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132953,related,direct,suberate anions,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132953,related,direct,suberates,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132953,related,direct,suberic acid anion,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132953,related,direct,suberic acid anions,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132954,related,direct,decanedioic acid anion,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132954,related,direct,decanedioic acid anions,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132954,related,direct,sebacate anion,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132954,related,direct,sebacate anions,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132954,related,direct,sebacates,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132954,related,direct,sebacic acid anion,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132954,related,direct,sebacic acid anions,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132961,related,direct,2-methylbutanedioic acid anion,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132961,related,direct,2-methylbutanedioic acid anions,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132961,related,direct,methylsuccinate anion,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132961,related,direct,methylsuccinates,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132961,related,direct,methylsuccinic acid anion,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132961,related,direct,methylsuccinic acid anions,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132966,related,direct,N-benzoylglycinates,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132966,related,direct,N-benzoylglycine anions,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132970,exact,direct,4-carboxy-2-oxobutan-1-aminium,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132970,related,direct,5-aminolevulinic acid cation,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:132970,related,direct,5-aminolevulinic acid(1+),Qwen3-4B-Instruct-2507,-1,exact
CHEBI:133251,related,direct,3-hydroxydicarboxylic acid dianion(2-),Qwen3-4B-Instruct-2507,-1,exact
CHEBI:133251,related,direct,a 3-hydroxy dicarboxylic acid,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:133291,related,direct,a saturated dicarboxylic acid,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:133291,related,direct,saturated dicarboxylate(2-),Qwen3-4B-Instruct-2507,-1,exact
CHEBI:133294,related,direct,oxo dicarboxylic acid dianions,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:133580,exact,direct,(hexanoylamino)acetate,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:133580,related,direct,N-caproylglycinate,Qwen3-4B-Instruct-2507,-1,related
CHEBI:133580,related,direct,N-hexanoylglycine,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:133580,related,direct,N-hexanoylglycine anion,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:133580,related,direct,N-hexanoylglycine(1-),Qwen3-4B-Instruct-2507,-1,exact
CHEBI:133608,exact,direct,2-azaniumyl-3-(1-methyl-1H-imidazol-4-yl)propanoate,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:133609,exact,direct,2-azaniumyl-3-(1-methyl-1H-imidazol-5-yl)propanoate,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:133610,exact,direct,(2-methylpropanamido)acetate,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:133610,related,direct,N-(2-methylpropanoyl)glycinate,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:133610,related,direct,N-isobutanoylglycinate,Qwen3-4B-Instruct-2507,-1,narrow
CHEBI:133610,related,direct,isobutanoylglycinate,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:133610,related,direct,isobutyrylglycinate,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:133744,exact,direct,(4-hydroxy-3-methoxyphenyl)acetate,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:133744,related,direct,3-methoxy-4-hydroxyphenylacetate,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:133748,related,direct,citrate,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:133748,related,direct,citrate anions,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:134179,related,direct,VOC,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:134179,related,direct,VOCs,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:134179,related,direct,volatile organic compounds,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:134249,related,direct,alkanesulfonate oxoanions,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:134249,related,direct,alkanesulfonates,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:134249,related,direct,an alkanesulfonate,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:134251,related,direct,1-hydroxy-2-methoxybenzenes,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:134251,related,direct,2-methoxyphenol,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:134251,related,direct,2-methoxyphenol derivative,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:134251,related,direct,2-methoxyphenol derivatives,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:134251,related,direct,2-methoxyphenols,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:134251,related,direct,a guaiacol,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:134251,related,direct,catechol monomethyl ether,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:134251,related,direct,catechol monomethyl ethers,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:134251,related,direct,o-methoxyphenol,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:134251,related,direct,o-methoxyphenols,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:134251,related,direct,ortho-methoxyphenol,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:134251,related,direct,ortho-methoxyphenols,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:13643,exact,direct,glycols,Qwen3-4B-Instruct-2507,-1,broad
CHEBI:13643,related,direct,Glykol,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:136505,related,direct,homocysteine derivatives,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:136849,related,direct,a 3-oxo-Delta4-steroid group,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:136859,related,direct,pro-agents,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:136859,related,direct,proagent,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:136859,related,direct,proagents,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:136889,related,direct,5beta steroids,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:136889,related,direct,5beta-steroid,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:136889,related,direct,5beta-steroids,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:137682,related,direct,methylhistidines,Qwen3-4B-Instruct-2507,-1,exact
CHEBI:137982,related,direct,a tertiary amine,Qwen3-4B-Instruct-2507,-1,related
CHEBI:137982,related,direct,tertiary amine(1+),Qwen3-4B-Instruct-2507,-1,exact
