hpoID,class,type,content,system,round,answer
,related,direct,http://purl.obolibrary.org/obo/OMO_0003000,medgemma-27b-text-it,-1,expert
RO:0002207,exact,direct,has developmental precursor,medgemma-27b-text-it,-1,expert
RO:0002264,related,direct,affects,medgemma-27b-text-it,-1,layperson
RO:0002374,broad,direct,has fused element,medgemma-27b-text-it,-1,layperson
RO:0002418,related,direct,affects,medgemma-27b-text-it,-1,layperson
RO:0002491,exact,direct,exists during,medgemma-27b-text-it,-1,layperson
core#channel:for,broad,direct,carries,medgemma-27b-text-it,-1,layperson
core#site:of,related,direct,capable_of_has_part,medgemma-27b-text-it,-1,expert
CHEBI:10545,exact,direct,electron,medgemma-27b-text-it,-1,expert
CHEBI:10545,related,direct,Elektron,medgemma-27b-text-it,-1,expert
CHEBI:10545,related,direct,beta,medgemma-27b-text-it,-1,expert
CHEBI:10545,related,direct,beta(-),medgemma-27b-text-it,-1,expert
CHEBI:10545,related,direct,beta-particle,medgemma-27b-text-it,-1,expert
CHEBI:10545,related,direct,e,medgemma-27b-text-it,-1,expert
CHEBI:10545,related,direct,e(-),medgemma-27b-text-it,-1,expert
CHEBI:10545,related,direct,e-,medgemma-27b-text-it,-1,expert
CHEBI:10545,related,direct,negatron,medgemma-27b-text-it,-1,expert
CHEBI:11596,exact,direct,2-hydroxypentanedioate,medgemma-27b-text-it,-1,expert
CHEBI:11596,related,direct,2-hydroxyglutarate,medgemma-27b-text-it,-1,expert
CHEBI:11851,exact,direct,3-methyl-2-oxobutanoate,medgemma-27b-text-it,-1,expert
CHEBI:11851,related,direct,2-Oxo-3-methylbutanoate,medgemma-27b-text-it,-1,expert
CHEBI:11851,related,direct,2-Oxoisopentanoate,medgemma-27b-text-it,-1,expert
CHEBI:11851,related,direct,2-Oxoisovalerate,medgemma-27b-text-it,-1,expert
CHEBI:11851,related,direct,3-methyl-2-oxobutyrate,medgemma-27b-text-it,-1,expert
CHEBI:11851,related,direct,alpha-keto-isovalerate,medgemma-27b-text-it,-1,expert
CHEBI:11955,exact,direct,4-Amino-3-hydroxybutanoate,medgemma-27b-text-it,-1,expert
CHEBI:12109,exact,direct,5-amino-4-oxopentanoate,medgemma-27b-text-it,-1,expert
CHEBI:12777,related,direct,vitamin A vitamer,medgemma-27b-text-it,-1,expert
CHEBI:12777,related,direct,vitamin A vitamers,medgemma-27b-text-it,-1,expert
CHEBI:12777,related,direct,vitamin-A,medgemma-27b-text-it,-1,layperson
CHEBI:12777,related,direct,vitamins A,medgemma-27b-text-it,-1,layperson
CHEBI:131444,exact,direct,carbamimidamidoacetate,medgemma-27b-text-it,-1,expert
CHEBI:131565,related,direct,steroid aldehydes,medgemma-27b-text-it,-1,expert
CHEBI:131604,related,direct,Mycoplasma genitalium metabolites,medgemma-27b-text-it,-1,expert
CHEBI:131619,related,direct,C27-steroids,medgemma-27b-text-it,-1,expert
CHEBI:131621,related,direct,C19-steroids,medgemma-27b-text-it,-1,expert
CHEBI:131702,related,direct,stigmastane derivatives,medgemma-27b-text-it,-1,expert
CHEBI:131703,related,direct,stigmastane sterols,medgemma-27b-text-it,-1,expert
CHEBI:131927,related,direct,dicarboxylic acids and derivatives,medgemma-27b-text-it,-1,expert
CHEBI:132153,related,direct,hyaluronan,medgemma-27b-text-it,-1,expert
CHEBI:132153,related,direct,hyaluronate polyanion,medgemma-27b-text-it,-1,expert
CHEBI:132177,exact,direct,2-hydroxy-3-methylbut-2-enoic acid,medgemma-27b-text-it,-1,expert
CHEBI:132362,exact,direct,"2-oxidopropane-1,2,3-tricarboxylate",medgemma-27b-text-it,-1,expert
CHEBI:132362,related,direct,"2-oxido-1,2,3-propanetricarboxylate",medgemma-27b-text-it,-1,expert
CHEBI:132362,related,direct,citric acid tetraanion,medgemma-27b-text-it,-1,expert
CHEBI:132542,related,direct,FA 22:4,medgemma-27b-text-it,-1,expert
CHEBI:132542,related,direct,FA(22:4),medgemma-27b-text-it,-1,expert
CHEBI:132542,related,direct,free fatty acid 22:4,medgemma-27b-text-it,-1,expert
CHEBI:132938,related,direct,ethylmalonate anion,medgemma-27b-text-it,-1,expert
CHEBI:132938,related,direct,ethylmalonic acid anion,medgemma-27b-text-it,-1,expert
CHEBI:132939,exact,direct,ethylpropanedioate,medgemma-27b-text-it,-1,expert
CHEBI:132941,related,direct,2-hydroxyglutarate anion,medgemma-27b-text-it,-1,expert
CHEBI:132941,related,direct,2-hydroxyglutaric acid anion,medgemma-27b-text-it,-1,expert
CHEBI:132952,related,direct,ethanedioic acid anion,medgemma-27b-text-it,-1,expert
CHEBI:132952,related,direct,ethanedioic acid anions,medgemma-27b-text-it,-1,expert
CHEBI:132952,related,direct,oxalate anion,medgemma-27b-text-it,-1,expert
CHEBI:132952,related,direct,oxalate anions,medgemma-27b-text-it,-1,expert
CHEBI:132952,related,direct,oxalates,medgemma-27b-text-it,-1,layperson
CHEBI:132952,related,direct,oxalic acid anion,medgemma-27b-text-it,-1,expert
CHEBI:132952,related,direct,oxalic acid anions,medgemma-27b-text-it,-1,expert
CHEBI:132953,related,direct,octanedioic acid anion,medgemma-27b-text-it,-1,expert
CHEBI:132953,related,direct,octanedioic acid anions,medgemma-27b-text-it,-1,expert
CHEBI:132953,related,direct,suberate anion,medgemma-27b-text-it,-1,expert
CHEBI:132953,related,direct,suberate anions,medgemma-27b-text-it,-1,expert
CHEBI:132953,related,direct,suberates,medgemma-27b-text-it,-1,expert
CHEBI:132953,related,direct,suberic acid anion,medgemma-27b-text-it,-1,expert
CHEBI:132953,related,direct,suberic acid anions,medgemma-27b-text-it,-1,expert
CHEBI:132954,related,direct,decanedioic acid anion,medgemma-27b-text-it,-1,expert
CHEBI:132954,related,direct,decanedioic acid anions,medgemma-27b-text-it,-1,expert
CHEBI:132954,related,direct,sebacate anion,medgemma-27b-text-it,-1,expert
CHEBI:132954,related,direct,sebacate anions,medgemma-27b-text-it,-1,expert
CHEBI:132954,related,direct,sebacates,medgemma-27b-text-it,-1,expert
CHEBI:132954,related,direct,sebacic acid anion,medgemma-27b-text-it,-1,expert
CHEBI:132954,related,direct,sebacic acid anions,medgemma-27b-text-it,-1,expert
CHEBI:132961,related,direct,2-methylbutanedioic acid anion,medgemma-27b-text-it,-1,expert
CHEBI:132961,related,direct,2-methylbutanedioic acid anions,medgemma-27b-text-it,-1,expert
CHEBI:132961,related,direct,methylsuccinate anion,medgemma-27b-text-it,-1,expert
CHEBI:132961,related,direct,methylsuccinates,medgemma-27b-text-it,-1,expert
CHEBI:132961,related,direct,methylsuccinic acid anion,medgemma-27b-text-it,-1,expert
CHEBI:132961,related,direct,methylsuccinic acid anions,medgemma-27b-text-it,-1,expert
CHEBI:132966,related,direct,N-benzoylglycinates,medgemma-27b-text-it,-1,expert
CHEBI:132966,related,direct,N-benzoylglycine anions,medgemma-27b-text-it,-1,expert
CHEBI:132970,exact,direct,4-carboxy-2-oxobutan-1-aminium,medgemma-27b-text-it,-1,expert
CHEBI:132970,related,direct,5-aminolevulinic acid cation,medgemma-27b-text-it,-1,expert
CHEBI:132970,related,direct,5-aminolevulinic acid(1+),medgemma-27b-text-it,-1,expert
CHEBI:133251,related,direct,3-hydroxydicarboxylic acid dianion(2-),medgemma-27b-text-it,-1,expert
CHEBI:133251,related,direct,a 3-hydroxy dicarboxylic acid,medgemma-27b-text-it,-1,layperson
CHEBI:133291,related,direct,a saturated dicarboxylic acid,medgemma-27b-text-it,-1,layperson
CHEBI:133291,related,direct,saturated dicarboxylate(2-),medgemma-27b-text-it,-1,expert
CHEBI:133294,related,direct,oxo dicarboxylic acid dianions,medgemma-27b-text-it,-1,expert
CHEBI:133580,exact,direct,(hexanoylamino)acetate,medgemma-27b-text-it,-1,expert
CHEBI:133580,related,direct,N-caproylglycinate,medgemma-27b-text-it,-1,expert
CHEBI:133580,related,direct,N-hexanoylglycine,medgemma-27b-text-it,-1,expert
CHEBI:133580,related,direct,N-hexanoylglycine anion,medgemma-27b-text-it,-1,expert
CHEBI:133580,related,direct,N-hexanoylglycine(1-),medgemma-27b-text-it,-1,expert
CHEBI:133608,exact,direct,2-azaniumyl-3-(1-methyl-1H-imidazol-4-yl)propanoate,medgemma-27b-text-it,-1,expert
CHEBI:133609,exact,direct,2-azaniumyl-3-(1-methyl-1H-imidazol-5-yl)propanoate,medgemma-27b-text-it,-1,expert
CHEBI:133610,exact,direct,(2-methylpropanamido)acetate,medgemma-27b-text-it,-1,expert
CHEBI:133610,related,direct,N-(2-methylpropanoyl)glycinate,medgemma-27b-text-it,-1,expert
CHEBI:133610,related,direct,N-isobutanoylglycinate,medgemma-27b-text-it,-1,expert
CHEBI:133610,related,direct,isobutanoylglycinate,medgemma-27b-text-it,-1,expert
CHEBI:133610,related,direct,isobutyrylglycinate,medgemma-27b-text-it,-1,expert
CHEBI:133744,exact,direct,(4-hydroxy-3-methoxyphenyl)acetate,medgemma-27b-text-it,-1,expert
CHEBI:133744,related,direct,3-methoxy-4-hydroxyphenylacetate,medgemma-27b-text-it,-1,expert
CHEBI:133748,related,direct,citrate,medgemma-27b-text-it,-1,expert
