hpoID,class,type,content,system,round
,related,direct,http://purl.obolibrary.org/obo/OMO_0003000,gold,-1
RO:0002207,exact,direct,has developmental precursor,gold,-1
RO:0002264,related,direct,affects,gold,-1
RO:0002374,broad,direct,has fused element,gold,-1
RO:0002418,related,direct,affects,gold,-1
RO:0002491,exact,direct,exists during,gold,-1
core#channel:for,broad,direct,carries,gold,-1
core#site:of,related,direct,capable_of_has_part,gold,-1
CHEBI:10545,exact,direct,electron,gold,-1
CHEBI:10545,related,direct,Elektron,gold,-1
CHEBI:10545,related,direct,beta,gold,-1
CHEBI:10545,related,direct,beta(-),gold,-1
CHEBI:10545,related,direct,beta-particle,gold,-1
CHEBI:10545,related,direct,e,gold,-1
CHEBI:10545,related,direct,e(-),gold,-1
CHEBI:10545,related,direct,e-,gold,-1
CHEBI:10545,related,direct,negatron,gold,-1
CHEBI:11596,exact,direct,2-hydroxypentanedioate,gold,-1
CHEBI:11596,related,direct,2-hydroxyglutarate,gold,-1
CHEBI:11851,exact,direct,3-methyl-2-oxobutanoate,gold,-1
CHEBI:11851,related,direct,2-Oxo-3-methylbutanoate,gold,-1
CHEBI:11851,related,direct,2-Oxoisopentanoate,gold,-1
CHEBI:11851,related,direct,2-Oxoisovalerate,gold,-1
CHEBI:11851,related,direct,3-methyl-2-oxobutyrate,gold,-1
CHEBI:11851,related,direct,alpha-keto-isovalerate,gold,-1
CHEBI:11955,exact,direct,4-Amino-3-hydroxybutanoate,gold,-1
CHEBI:12109,exact,direct,5-amino-4-oxopentanoate,gold,-1
CHEBI:12777,related,direct,vitamin A vitamer,gold,-1
CHEBI:12777,related,direct,vitamin A vitamers,gold,-1
CHEBI:12777,related,direct,vitamin-A,gold,-1
CHEBI:12777,related,direct,vitamins A,gold,-1
CHEBI:131444,exact,direct,carbamimidamidoacetate,gold,-1
CHEBI:131565,related,direct,steroid aldehydes,gold,-1
CHEBI:131604,related,direct,Mycoplasma genitalium metabolites,gold,-1
CHEBI:131619,related,direct,C27-steroids,gold,-1
CHEBI:131621,related,direct,C19-steroids,gold,-1
CHEBI:131702,related,direct,stigmastane derivatives,gold,-1
CHEBI:131703,related,direct,stigmastane sterols,gold,-1
CHEBI:131927,related,direct,dicarboxylic acids and derivatives,gold,-1
CHEBI:132153,related,direct,hyaluronan,gold,-1
CHEBI:132153,related,direct,hyaluronate polyanion,gold,-1
CHEBI:132177,exact,direct,2-hydroxy-3-methylbut-2-enoic acid,gold,-1
CHEBI:132362,exact,direct,"2-oxidopropane-1,2,3-tricarboxylate",gold,-1
CHEBI:132362,related,direct,"2-oxido-1,2,3-propanetricarboxylate",gold,-1
CHEBI:132362,related,direct,citric acid tetraanion,gold,-1
CHEBI:132542,related,direct,FA 22:4,gold,-1
CHEBI:132542,related,direct,FA(22:4),gold,-1
CHEBI:132542,related,direct,free fatty acid 22:4,gold,-1
CHEBI:132938,related,direct,ethylmalonate anion,gold,-1
CHEBI:132938,related,direct,ethylmalonic acid anion,gold,-1
CHEBI:132939,exact,direct,ethylpropanedioate,gold,-1
CHEBI:132941,related,direct,2-hydroxyglutarate anion,gold,-1
CHEBI:132941,related,direct,2-hydroxyglutaric acid anion,gold,-1
CHEBI:132952,related,direct,ethanedioic acid anion,gold,-1
CHEBI:132952,related,direct,ethanedioic acid anions,gold,-1
CHEBI:132952,related,direct,oxalate anion,gold,-1
CHEBI:132952,related,direct,oxalate anions,gold,-1
CHEBI:132952,related,direct,oxalates,gold,-1
CHEBI:132952,related,direct,oxalic acid anion,gold,-1
CHEBI:132952,related,direct,oxalic acid anions,gold,-1
CHEBI:132953,related,direct,octanedioic acid anion,gold,-1
CHEBI:132953,related,direct,octanedioic acid anions,gold,-1
CHEBI:132953,related,direct,suberate anion,gold,-1
CHEBI:132953,related,direct,suberate anions,gold,-1
CHEBI:132953,related,direct,suberates,gold,-1
CHEBI:132953,related,direct,suberic acid anion,gold,-1
CHEBI:132953,related,direct,suberic acid anions,gold,-1
CHEBI:132954,related,direct,decanedioic acid anion,gold,-1
CHEBI:132954,related,direct,decanedioic acid anions,gold,-1
CHEBI:132954,related,direct,sebacate anion,gold,-1
CHEBI:132954,related,direct,sebacate anions,gold,-1
CHEBI:132954,related,direct,sebacates,gold,-1
CHEBI:132954,related,direct,sebacic acid anion,gold,-1
CHEBI:132954,related,direct,sebacic acid anions,gold,-1
CHEBI:132961,related,direct,2-methylbutanedioic acid anion,gold,-1
CHEBI:132961,related,direct,2-methylbutanedioic acid anions,gold,-1
CHEBI:132961,related,direct,methylsuccinate anion,gold,-1
CHEBI:132961,related,direct,methylsuccinates,gold,-1
CHEBI:132961,related,direct,methylsuccinic acid anion,gold,-1
CHEBI:132961,related,direct,methylsuccinic acid anions,gold,-1
CHEBI:132966,related,direct,N-benzoylglycinates,gold,-1
CHEBI:132966,related,direct,N-benzoylglycine anions,gold,-1
CHEBI:132970,exact,direct,4-carboxy-2-oxobutan-1-aminium,gold,-1
CHEBI:132970,related,direct,5-aminolevulinic acid cation,gold,-1
CHEBI:132970,related,direct,5-aminolevulinic acid(1+),gold,-1
CHEBI:133251,related,direct,3-hydroxydicarboxylic acid dianion(2-),gold,-1
CHEBI:133251,related,direct,a 3-hydroxy dicarboxylic acid,gold,-1
CHEBI:133291,related,direct,a saturated dicarboxylic acid,gold,-1
CHEBI:133291,related,direct,saturated dicarboxylate(2-),gold,-1
CHEBI:133294,related,direct,oxo dicarboxylic acid dianions,gold,-1
CHEBI:133580,exact,direct,(hexanoylamino)acetate,gold,-1
CHEBI:133580,related,direct,N-caproylglycinate,gold,-1
CHEBI:133580,related,direct,N-hexanoylglycine,gold,-1
CHEBI:133580,related,direct,N-hexanoylglycine anion,gold,-1
CHEBI:133580,related,direct,N-hexanoylglycine(1-),gold,-1
CHEBI:133608,exact,direct,2-azaniumyl-3-(1-methyl-1H-imidazol-4-yl)propanoate,gold,-1
CHEBI:133609,exact,direct,2-azaniumyl-3-(1-methyl-1H-imidazol-5-yl)propanoate,gold,-1
CHEBI:133610,exact,direct,(2-methylpropanamido)acetate,gold,-1
CHEBI:133610,related,direct,N-(2-methylpropanoyl)glycinate,gold,-1
CHEBI:133610,related,direct,N-isobutanoylglycinate,gold,-1
CHEBI:133610,related,direct,isobutanoylglycinate,gold,-1
CHEBI:133610,related,direct,isobutyrylglycinate,gold,-1
CHEBI:133744,exact,direct,(4-hydroxy-3-methoxyphenyl)acetate,gold,-1
CHEBI:133744,related,direct,3-methoxy-4-hydroxyphenylacetate,gold,-1
CHEBI:133748,related,direct,citrate,gold,-1
CHEBI:133748,related,direct,citrate anions,gold,-1
CHEBI:134179,related,direct,VOC,gold,-1
CHEBI:134179,related,direct,VOCs,gold,-1
CHEBI:134179,related,direct,volatile organic compounds,gold,-1
CHEBI:134249,related,direct,alkanesulfonate oxoanions,gold,-1
CHEBI:134249,related,direct,alkanesulfonates,gold,-1
