hpoID,class,type,content,system,round
HP:0008964,definition,,Muscular atrophy that does not display a progression in severity with time.,gold,-1
HP:0008964,label,,Nonprogressive muscular atrophy,gold,-1
HP:0008964,reference,,UMLS:C4024611,gold,-1
HP:0008964,reference,,https://orcid.org/0000-0002-0736-9199,gold,-1
HP:0002676,exact,direct,Kleeblattschaedel,gold,-1
HP:0002676,broad,,Trilobar skull shape,gold,-1
HP:0002676,broad,,Trilobar cranium shape,gold,-1
HP:0002676,broad,layperson,Cloverleaf skull shape,gold,-1
HP:0002676,broad,layperson,Cloverleaf cranium shape,gold,-1
HP:0002676,comment,,A deformity of the skull that resembles a cloverleaf and is characterized by very prominent temporal bones with constriction of the remainder of the cranium. Cloverleaf skull is commonly accompanied by hydrocephalus. See figure 3 in PMID:29089832.,gold,-1
HP:0002676,definition,,Trilobar skull configuration when viewed from the front or behind.,gold,-1
HP:0002676,label,,Cloverleaf skull,gold,-1
HP:0002676,reference,,UMLS:C1860050,gold,-1
HP:0002676,reference,,UMLS:C4280564,gold,-1
HP:0002676,reference,,https://orcid.org/0000-0001-5889-4463,gold,-1
HP:0002676,reference,,PMID:19125436,gold,-1
HP:0002676,reference,,PMID:29089832,gold,-1
HP:0033792,comment,,"Cross bite may occur unilaterally, bilaterally, or frontally. A total cross bite with buccal displacement of the maxillary posterior teeth, with or without contact between the lingual surface of the maxillary lingual cusp and the buccal surface of the buccal cusp of its mandibular antagonist, has been called scissor bite. If only a single tooth is affected, the term single cross bite can be used.",gold,-1
HP:0033792,definition,,Lingual occlusion of buccal cusps and/or incisal edge of maxillary teeth to the buccal cusps and/or incisal edge of mandibular teeth.,gold,-1
HP:0033792,label,,Cross bite,gold,-1
HP:0033792,reference,,PMID:31468724,gold,-1
HP:0010650,related,layperson,Primary palate bone retrusion,gold,-1
HP:0010650,related,layperson,Premaxillary retrusion,gold,-1
HP:0010650,related,,Premaxillary bone retrusion,gold,-1
HP:0010650,exact,layperson,Underdevelopment of the primary palate bone,gold,-1
HP:0010650,exact,layperson,Underdevelopment of the premaxilla,gold,-1
HP:0010650,exact,,Underdevelopment of premaxilla,gold,-1
HP:0010650,exact,layperson,Small primary palate bone,gold,-1
HP:0010650,exact,layperson,Small premaxilla,gold,-1
HP:0010650,exact,layperson,Primary palate bone deficiency,gold,-1
HP:0010650,exact,,Premaxillary underdevelopment,gold,-1
HP:0010650,exact,layperson,Premaxillary bone deficiency,gold,-1
HP:0010650,exact,layperson,Hypoplasia of the primary palate bone,gold,-1
HP:0010650,exact,,Hypoplasia of the intermaxillary bone,gold,-1
HP:0010650,exact,,Decreased size of the primary palate bone,gold,-1
HP:0010650,exact,,Decreased size of premaxilla,gold,-1
HP:0010650,definition,,An abnormality of the premaxilla (the embryonic structure that forms the anterior part of the maxilla) causing it to appear relatively small in size compared to the other parts of the maxilla or other facial structures.,gold,-1
HP:0010650,label,,Hypoplasia of the premaxilla,gold,-1
HP:0010650,reference,,UMLS:C4020770,gold,-1
HP:0010650,reference,,UMLS:C4072878,gold,-1
HP:0010650,reference,,https://orcid.org/0000-0001-5889-4463,gold,-1
HP:0010650,reference,,https://orcid.org/0000-0001-5208-3432,gold,-1
HP:0010650,reference,,https://orcid.org/0000-0002-0736-9199,gold,-1
HP:0010650,reference,,PMID:19125436,gold,-1
HP:0000601,exact,direct,Ocular hypotelorism,gold,-1
HP:0000601,exact,,Decreased orbital separation,gold,-1
HP:0000601,exact,,Decreased interpupillary distance,gold,-1
HP:0000601,exact,,Decreased distance between eyes,gold,-1
HP:0000601,exact,,Decreased distance between eye sockets,gold,-1
HP:0000601,exact,layperson,Closely spaced eyes,gold,-1
HP:0000601,exact,layperson,Abnormally close eyes,gold,-1
HP:0000601,definition,,"Interpupillary distance less than 2 SD below the mean (alternatively, the appearance of an decreased interpupillary distance or closely spaced eyes).",gold,-1
HP:0000601,label,,Hypotelorism,gold,-1
HP:0000601,reference,,SNOMEDCT_US:44593008,gold,-1
HP:0000601,reference,,UMLS:C0424711,gold,-1
HP:0000601,reference,,https://orcid.org/0000-0001-5889-4463,gold,-1
HP:0000601,reference,,https://orcid.org/0000-0002-0736-9199,gold,-1
HP:0000601,reference,,PMID:19125427,gold,-1
HP:0006498,exact,direct,Absent or hypoplastic patellae,gold,-1
HP:0006498,exact,direct,Absent/hypoplastic patella,gold,-1
HP:0006498,exact,direct,Aplastic or hypoplastic patellae,gold,-1
HP:0006498,exact,direct,Hypoplastic or absent patella,gold,-1
HP:0006498,exact,direct,Patellar aplasia/hypoplasia,gold,-1
HP:0006498,exact,direct,Small to absent patellae,gold,-1
HP:0006498,exact,layperson,Absent/underdeveloped kneecap,gold,-1
HP:0006498,exact,layperson,Absent/small kneecap,gold,-1
HP:0006498,definition,,Absence or underdevelopment of the patella.,gold,-1
HP:0006498,label,,Aplasia/Hypoplasia of the patella,gold,-1
HP:0006498,child,,HP:0003065,gold,-1
HP:0006498,child,,HP:0006443,gold,-1
HP:0006498,reference,,UMLS:C1868577,gold,-1
